,Datetime,code,name,price,ushadow,dshadow,RF,Turnover,RF_2,RF_4,RF_6,RF_8,RF_10,RF_12,RF_14,RF_16,RF_18,RF_20,RF_22,RF_24,RF_26,RF_28,RF_30,Turnover_5,Turnover_10,price_5,price_10,expect_max,expect_min
5,2025-01-20,3021,兆威机电,216.21,0.009851533231580386,0.021553119652189985,0.0014999999999999992,1017209638.42,0.9838736,1.0184042181897603,0.971398620702445,1.1465074045039227,1.253128523021502,1.2123501168778728,1.2536220064247323,1.2503966877266026,1.3101536455917322,1.298382452249085,1.294586657117584,1.2671082267848028,1.241407571989585,1.1702711690637138,1.2239717532798917,0.6544888307341282,0.6366756074380193,-0.000777022339392287,0.06534387863651073,0.09883909162388416,-0.022478146246704633
6,2025-01-17,3021,兆威机电,214.15,0.019985991127714223,0.023021246789633465,-0.0176,1261565757.18,0.96707456,1.032843898567488,1.0531648750461455,1.245646237484492,1.2347351238318702,1.253750390464716,1.2897974192911075,1.3084530491637338,1.29942647645159,1.3091428859521979,1.286960035772608,1.2738138419639933,1.2120302784737054,1.238863198643385,1.1924405788069796,0.7229966430855919,0.8197468131997097,0.00932990894233023,0.08442680364230686,0.10940929255194964,0.0096194256362363
7,2025-01-16,3021,兆威机电,217.75,0.06369690011481058,0.01859931113662462,-0.015600000000000001,1707934937.46,1.0350966000000001,0.987320546767842,1.165299490202728,1.273668205978392,1.2322214122605513,1.274169777931568,1.2708915939269054,1.33162801155731,1.3196638798409521,1.3158058688815149,1.2878770471987486,1.2617551400805804,1.1894527600534395,1.2440335356898402,1.242570664214887,0.8638035157930732,1.1559226394327429,0.030851894374282384,0.12471641791044781,0.09106773823191738,-0.016532721010332874
8,2025-01-15,3021,兆威机电,221.81,0.015644019656462733,0.08858933321311034,0.0515,1824693371.29,1.06800855,1.089021383259369,1.2880560496643527,1.2767734515029228,1.2964361201526344,1.3337104217601459,1.3530012093004844,1.3436673139779314,1.3537145325715092,1.3307764354514795,1.317182660625457,1.2532955871300195,1.2810420725402856,1.2330389280501595,1.2997511305791036,0.8905425730625603,1.3238800187882265,0.06870745232406104,0.1620756503313645,0.07109688472115772,-0.03453406068256615
9,2025-01-14,3021,兆威机电,211.97,0.0,0.09963674104826156,0.015700000000000002,1959619960.63,0.95384387,1.125788153688002,1.2304824554330407,1.1904409813157064,1.2309670207897196,1.2277999888386315,1.2864770414252256,1.2749185726636068,1.2711913737147962,1.2442095232452204,1.2189733210219997,1.149122468428009,1.201852595873506,1.2004393253874923,1.2239786680926563,1.0142319855399313,1.575303725452394,0.0669056942020098,0.1485493230174081,0.12081898381846501,0.010284474218049677
10,2025-01-13,3021,兆威机电,195.08,0.06904859544802132,0.03198687717859344,-0.060899999999999996,1970747624.21,1.0196747800000001,1.206035335264266,1.1954711893485523,1.2138817803964532,1.2487825324620723,1.2668449230116037,1.2581053906150201,1.2675128233491286,1.2460353762631202,1.2333072245774224,1.173488346259044,1.1994679935289707,1.1545215888488527,1.2169856978945568,1.2410905092730402,1.200816253758323,1.7783308971352665,0.037389788804593045,0.09394607340578237,0.1370207094525322,0.08657986467090417
11,2025-01-10,3021,兆威机电,208.55,0.02972908175497477,0.057252457444257956,0.0858,2423135073.89,1.1802645999999999,1.29002501786067,1.248045952547461,1.29053303114452,1.2872127477619912,1.348729159862636,1.3366113813402258,1.3327038246991054,1.304416333089419,1.277958960958673,1.2047280530596784,1.2600097706488442,1.2585281125594403,1.283206514806932,1.3879174239575616,1.817768010861695,2.485569901982213,0.13695516662670829,0.1637544953248622,0.06358187485015576,-0.06458882761927598
12,2025-01-09,3021,兆威机电,195.44,0.0,0.09430004093327879,0.087,2066644736.07,1.1827647000000001,1.17240439088682,1.1904597467797067,1.2246870835248787,1.2424009575009825,1.2338300557115085,1.2430559705998891,1.2219929341227016,1.2095103740600728,1.1508457100989042,1.1763240761225562,1.1322449191582955,1.1935037737174952,1.2171434790934421,1.2744093494987008,2.113400983874154,2.4951617076608876,0.1293798608268521,0.12430413426115423,0.1349263200982398,-0.00184199754400316
13,2025-01-08,3021,兆威机电,177.9,0.0,0.10247329960652062,0.08810000000000001,1240462744.54,1.09299645,1.057428946481544,1.0934268732151418,1.0906137045557338,1.1427345697419342,1.1324675681539764,1.1291568218678298,1.105189745663319,1.0827732704672095,1.0207270920941613,1.067565502387214,1.0663101414373017,1.0872193530221375,1.1759375177037095,1.1582235477182763,1.753016696071968,1.8429100137863055,0.07166947723440134,0.05502529510961223,0.24682405845980893,0.09657110736368746
14,2025-01-07,3021,兆威机电,161.96,0.0,0.03735490244504823,0.004499999999999997,504876530.88,0.9912406,1.0065059827873681,1.0354443986406414,1.0504210664225797,1.0431745686284926,1.0509748647384296,1.0331665580843776,1.0226128443468703,0.9730132376278258,0.9945546025532856,0.957286702214139,1.0090796366491959,1.0290664568307137,1.0774834161847244,0.9914248803830551,0.9083707216617114,0.8035720623833116,-0.007508026673252529,-0.03258829340577915,0.3087799456655964,0.0984193628056309
