,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
94,2025-01-24,富特科技,301607,35.43,35.7,35.79,34.91,8439,29842276.9,2.51,1.91,0.67,3.77
93,2025-01-23,富特科技,301607,35.9,35.03,36.35,35.0,10675,38246938.0,3.81,-1.05,-0.37,4.77
92,2025-01-22,富特科技,301607,36.0,35.4,36.0,35.24,7028,25010953.0,2.11,-1.94,-0.7,3.14
91,2025-01-21,富特科技,301607,36.59,36.1,36.61,35.58,7616,27406956.0,2.84,-0.52,-0.19,3.4
90,2025-01-20,富特科技,301607,36.31,36.29,36.56,35.92,9463,34366103.0,1.78,1.2,0.43,4.23
89,2025-01-17,富特科技,301607,36.1,35.86,36.31,35.51,9240,33151535.0,2.2,-1.24,-0.45,4.13
88,2025-01-16,富特科技,301607,36.11,36.31,37.14,36.11,16419,60084206.0,2.85,0.64,0.23,7.34
87,2025-01-15,富特科技,301607,36.59,36.08,36.99,35.7,11197,40495750.0,3.53,-1.37,-0.5,5.01
86,2025-01-14,富特科技,301607,35.52,36.58,36.71,35.38,14081,51120482.0,3.76,3.42,1.21,6.3
85,2025-01-13,富特科技,301607,34.12,35.37,35.41,34.0,8305,28945411.0,4.03,1.2,0.42,3.71
84,2025-01-10,富特科技,301607,36.06,34.95,36.54,34.94,9777,35009040.0,4.44,-3.0,-1.08,4.37
83,2025-01-09,富特科技,301607,35.0,36.03,36.3,35.0,10968,39414793.0,3.67,1.75,0.62,4.9
82,2025-01-08,富特科技,301607,35.77,35.41,35.77,34.13,12450,43697215.0,4.55,-1.86,-0.67,5.57
81,2025-01-07,富特科技,301607,34.96,36.08,36.14,34.63,12240,43503115.0,4.36,4.19,1.45,5.47
80,2025-01-06,富特科技,301607,34.89,34.63,35.33,33.88,9368,32475374.0,4.14,-1.11,-0.39,4.19
79,2025-01-03,富特科技,301607,37.21,35.02,37.73,34.94,14265,51540504.0,7.5,-5.91,-2.2,6.38
78,2025-01-02,富特科技,301607,37.92,37.22,39.13,36.6,15946,60514970.0,6.67,-1.87,-0.71,7.13
77,2024-12-31,富特科技,301607,39.44,37.93,39.61,37.86,13375,51506766.0,4.43,-4.02,-1.59,5.98
76,2024-12-30,富特科技,301607,39.5,39.52,40.5,38.9,12999,51630616.0,4.03,-0.5,-0.2,5.81
75,2024-12-27,富特科技,301607,40.49,39.72,40.54,39.45,16212,64853245.0,2.69,-2.02,-0.82,7.25
74,2024-12-26,富特科技,301607,39.5,40.54,40.65,38.38,20774,83625493.0,5.74,2.48,0.98,9.29
73,2024-12-25,富特科技,301607,39.71,39.56,40.56,39.14,21337,85102525.0,3.55,-1.2,-0.48,9.54
72,2024-12-24,富特科技,301607,38.3,40.04,40.18,38.19,23418,92381309.0,5.26,5.93,2.24,10.47
71,2024-12-23,富特科技,301607,39.87,37.8,39.98,37.7,13769,53155621.0,5.72,-5.17,-2.06,6.16
70,2024-12-20,富特科技,301607,38.79,39.86,40.3,38.72,12685,50288731.0,4.06,2.39,0.93,5.67
69,2024-12-19,富特科技,301607,37.9,38.93,39.22,37.81,9783,37905863.0,3.66,1.17,0.45,4.37
68,2024-12-18,富特科技,301607,38.27,38.48,38.91,37.8,9656,37135103.0,2.9,0.63,0.24,4.32
67,2024-12-17,富特科技,301607,39.65,38.24,40.22,38.02,11265,43682512.0,5.55,-3.56,-1.41,5.04
66,2024-12-16,富特科技,301607,39.86,39.65,40.3,39.3,10164,40354176.0,2.49,-1.12,-0.45,4.54
65,2024-12-13,富特科技,301607,40.73,40.1,41.05,40.06,13168,53524613.0,2.41,-2.5,-1.03,5.89
64,2024-12-12,富特科技,301607,41.2,41.13,41.49,40.56,15283,62679474.0,2.26,-0.22,-0.09,6.83
63,2024-12-11,富特科技,301607,41.0,41.22,42.0,40.62,20841,85649255.0,3.3,-1.29,-0.54,9.32
62,2024-12-10,富特科技,301607,44.3,41.76,44.4,41.75,40376,172317077.0,6.23,-1.81,-0.77,18.05
61,2024-12-09,富特科技,301607,40.49,42.53,42.79,39.88,43409,180926357.0,7.21,5.32,2.15,19.41
60,2024-12-06,富特科技,301607,40.15,40.38,40.66,39.88,17436,70278921.0,1.92,-0.44,-0.18,7.8
59,2024-12-05,富特科技,301607,39.33,40.56,40.82,39.0,19666,79125884.0,4.62,2.89,1.14,8.79
58,2024-12-04,富特科技,301607,39.39,39.42,40.09,39.13,17110,67825170.0,2.44,0.05,0.02,7.65
57,2024-12-03,富特科技,301607,39.63,39.4,40.15,39.0,16582,65504216.0,2.87,-1.75,-0.7,7.41
56,2024-12-02,富特科技,301607,39.0,40.1,40.34,38.58,20780,82523929.0,4.54,3.48,1.35,9.29
55,2024-11-29,富特科技,301607,37.96,38.75,39.23,37.6,17214,66194171.0,4.29,1.95,0.74,7.7
54,2024-11-28,富特科技,301607,39.0,38.01,39.12,37.96,14438,55494004.0,2.96,-2.99,-1.17,6.45
53,2024-11-27,富特科技,301607,38.6,39.18,39.18,37.0,13774,52616205.0,5.61,0.82,0.32,6.16
52,2024-11-26,富特科技,301607,39.6,38.86,40.14,38.6,11722,45999638.0,3.87,-2.36,-0.94,5.24
51,2024-11-25,富特科技,301607,39.44,39.8,39.85,38.88,12185,47995662.0,2.47,1.45,0.57,5.45
50,2024-11-22,富特科技,301607,41.0,39.23,41.6,39.2,15669,63347170.0,5.85,-4.32,-1.77,7.01
49,2024-11-21,富特科技,301607,41.23,41.0,41.87,40.4,16743,68989331.0,3.54,-1.28,-0.53,7.49
48,2024-11-20,富特科技,301607,41.0,41.53,41.76,41.0,18947,78383937.0,1.82,-0.76,-0.32,8.47
47,2024-11-19,富特科技,301607,39.5,41.85,42.88,39.5,24707,101918935.0,8.63,6.87,2.69,11.05
46,2024-11-18,富特科技,301607,40.48,39.16,40.83,38.58,16604,65427313.0,5.55,-3.43,-1.39,7.42
45,2024-11-15,富特科技,301607,41.9,40.55,42.4,40.45,23453,97319547.0,4.63,-3.8,-1.6,10.49
44,2024-11-14,富特科技,301607,45.17,42.15,45.5,42.04,29669,128436864.0,7.8,-5.0,-2.22,13.26
43,2024-11-13,富特科技,301607,42.75,44.37,44.43,42.35,34851,151881426.0,4.78,1.98,0.86,15.58
42,2024-11-12,富特科技,301607,43.95,43.51,45.2,42.58,39167,172068331.0,5.98,-0.71,-0.31,17.51
41,2024-11-11,富特科技,301607,42.4,43.82,43.88,41.51,37383,161463289.0,5.67,4.86,2.03,16.71
40,2024-11-08,富特科技,301607,41.5,41.79,43.32,41.5,35428,150127536.0,4.39,0.77,0.32,15.84
39,2024-11-07,富特科技,301607,40.53,41.47,41.77,40.5,23030,94897386.0,3.11,1.54,0.63,10.3
38,2024-11-06,富特科技,301607,40.56,40.84,41.85,40.56,29865,122960380.0,3.17,0.32,0.13,13.35
37,2024-11-05,富特科技,301607,39.64,40.71,40.87,39.22,26459,106270540.0,4.17,2.8,1.11,11.83
36,2024-11-04,富特科技,301607,37.38,39.6,40.01,37.38,23178,90984609.0,6.95,4.68,1.77,10.36
35,2024-11-01,富特科技,301607,40.31,37.83,40.63,37.6,34949,134749229.0,7.43,-7.19,-2.93,15.62
34,2024-10-31,富特科技,301607,40.25,40.76,41.5,40.05,33861,138081488.0,3.57,0.39,0.16,15.14
33,2024-10-30,富特科技,301607,42.2,40.6,42.2,39.99,39366,160983772.0,5.17,-5.05,-2.16,17.6
32,2024-10-29,富特科技,301607,46.0,42.76,46.22,42.65,49996,221190452.0,7.83,-6.17,-2.81,22.35
31,2024-10-28,富特科技,301607,43.59,45.57,45.58,42.7,49417,218910868.0,6.57,3.99,1.75,22.09
30,2024-10-25,富特科技,301607,43.7,43.82,44.58,42.2,45220,195835318.0,5.5,1.18,0.51,20.22
29,2024-10-24,富特科技,301607,42.6,43.31,43.78,42.33,36737,158040268.0,3.43,2.53,1.07,16.42
28,2024-10-23,富特科技,301607,42.35,42.24,43.35,42.05,27474,116827896.0,3.03,-1.63,-0.7,12.28
27,2024-10-22,富特科技,301607,44.88,42.94,44.88,41.93,40609,175554290.0,6.56,-4.51,-2.03,18.15
26,2024-10-21,富特科技,301607,44.15,44.97,45.72,43.52,49849,222845123.0,4.94,0.9,0.4,22.29
25,2024-10-18,富特科技,301607,42.41,44.57,46.0,41.89,43614,191919814.0,9.69,5.09,2.16,19.5
24,2024-10-17,富特科技,301607,43.0,42.41,43.62,42.2,27586,118267397.0,3.33,-0.42,-0.18,12.33
23,2024-10-16,富特科技,301607,42.42,42.59,44.2,42.17,33266,142746793.0,4.58,-3.97,-1.76,14.87
22,2024-10-15,富特科技,301607,45.66,44.35,47.29,44.14,57591,262569717.0,6.81,-4.11,-1.9,25.75
21,2024-10-14,富特科技,301607,44.38,46.25,46.36,43.0,48517,217577832.0,7.62,4.88,2.15,21.69
20,2024-10-11,富特科技,301607,45.8,44.1,47.76,43.8,64083,291682289.0,8.29,-7.66,-3.66,28.65
19,2024-10-10,富特科技,301607,50.0,47.76,53.46,46.45,93498,467180036.0,13.13,-10.55,-5.63,41.8
18,2024-10-09,富特科技,301607,49.0,53.39,60.5,47.28,144173,775344197.0,26.11,5.43,2.75,64.45
17,2024-10-08,富特科技,301607,50.64,50.64,50.64,47.8,115411,577954482.0,6.73,20.0,8.44,51.6
16,2024-09-30,富特科技,301607,36.8,42.2,42.2,35.72,123145,477873664.0,18.42,19.99,7.03,55.05
15,2024-09-27,富特科技,301607,32.87,35.17,35.38,32.55,92890,314787885.0,8.75,8.68,2.81,41.53
14,2024-09-26,富特科技,301607,31.4,32.36,32.5,31.2,56257,179482089.0,4.07,1.38,0.44,25.15
13,2024-09-25,富特科技,301607,32.0,31.92,33.0,31.81,70883,229438540.0,3.69,-0.96,-0.31,31.69
12,2024-09-24,富特科技,301607,31.06,32.23,32.3,30.47,67894,213718941.0,5.81,2.35,0.74,30.35
11,2024-09-23,富特科技,301607,31.18,31.49,31.63,30.87,45671,142953417.0,2.43,0.67,0.21,20.42
10,2024-09-20,富特科技,301607,32.7,31.28,32.72,31.28,53278,170433246.0,4.43,-3.81,-1.24,23.82
9,2024-09-19,富特科技,301607,32.55,32.52,33.29,32.35,66703,218306571.0,2.83,-2.17,-0.72,29.82
8,2024-09-18,富特科技,301607,32.91,33.24,34.58,31.45,83298,273612991.0,9.69,2.91,0.94,37.24
7,2024-09-13,富特科技,301607,34.2,32.3,34.47,32.26,80954,266821940.0,6.43,-6.05,-2.08,36.19
6,2024-09-12,富特科技,301607,36.86,34.38,37.3,34.25,93068,329825665.0,8.47,-4.5,-1.62,41.61
5,2024-09-11,富特科技,301607,37.23,36.0,37.97,35.0,109166,397357403.0,7.41,-10.18,-4.08,48.8
4,2024-09-10,富特科技,301607,40.47,40.08,44.5,39.81,123091,515667430.0,11.25,-3.86,-1.61,55.03
3,2024-09-09,富特科技,301607,42.59,41.69,44.87,40.1,139630,579310259.0,9.94,-13.15,-6.31,62.42
2,2024-09-06,富特科技,301607,45.51,48.0,56.4,45.5,177268,892118442.0,24.73,8.89,3.92,79.25
1,2024-09-05,富特科技,301607,49.5,44.08,49.51,42.91,155302,707122289.0,12.03,-19.68,-10.8,69.43
0,2024-09-04,富特科技,301607,45.91,54.88,59.67,45.8,186053,947272534.0,99.07,292.0,40.88,83.18
